id,item,vowel,language,f1_cent,f2_cent,tl,f1_20,f1_35,f1_50,f1_65,f1_80,f2_20,f2_35,f2_50,f2_65,f2_80
js, meet,i,en,288.89,2256.37,455.86,288.38,282.66,274.33,259.59,339.51,1981.17,2309.45,2338.88,2333.67,2318.70
js,beat,i,en,269.88,2324.15,102.27,267.04,276.29,275.31,264.38,266.39,2261.79,2334.41,2344.16,2344.23,2336.16
js,feet,i,en,266.90,2168.42,439.63,291.04,277.71,264.82,256.20,244.71,2061.71,1963.54,2244.28,2272.35,2300.23
js,seat,i,en,280.49,2041.32,903.41,283.49,264.42,263.41,299.61,291.50,1753.87,1610.35,2282.76,2302.04,2257.57
js,heat,i,en,277.91,2201.67,314.60,274.77,267.64,254.57,306.80,285.75,2028.09,2198.69,2208.29,2262.76,2310.49
js,fleet,i,en,267.16,2299.63,381.27,268.46,259.96,271.58,297.89,237.90,2115.93,2375.42,2349.79,2329.07,2327.95
js,moss,a,en,643.69,984.88,113.31,655.22,635.98,613.46,650.02,663.76,996.58,975.70,979.84,975.57,996.72
js,bot,a,en,622.57,899.07,168.77,571.46,592.68,604.20,653.44,691.07,858.32,892.55,919.84,927.97,896.64
js,fought,a,en,620.99,891.75,168.79,539.70,603.41,649.95,653.55,658.34,847.92,850.80,916.85,927.57,915.59
js,sought,a,en,668.89,1034.39,120.83,636.90,667.08,677.30,687.11,676.05,1063.79,1054.61,1030.75,997.96,1024.87
js,caught,a,en,656.68,948.88,169.38,682.32,663.26,676.71,644.97,616.13,966.26,979.47,910.36,932.51,955.79
js,brought,a,en,713.15,1035.39,127.26,694.35,732.60,734.31,734.48,669.99,1043.68,1048.99,1038.51,1025.13,1020.65
js,moot,u,en,309.92,1458.96,172.23,289.09,293.74,315.81,326.34,324.63,1402.82,1451.94,1444.61,1455.46,1539.95
js,boot,u,en,281.10,1072.55,560.06,284.90,275.04,268.04,281.62,295.92,1187.92,1176.89,961.72,889.88,1146.35
js,food,u,en,308.49,1505.11,164.43,321.54,320.31,326.38,293.15,281.07,1572.97,1549.59,1476.01,1451.89,1475.06
js,soothe,u,en,294.02,1211.16,1425.57,299.31,315.34,297.92,265.43,292.11,1537.61,1297.16,1051.77,761.60,1407.64
js,cooed,u,en,281.61,701.87,292.80,303.91,286.87,283.00,288.59,245.69,744.67,621.08,651.67,717.75,774.19
js,dude,u,en,295.08,1617.56,233.19,319.85,316.41,316.33,259.82,263.01,1742.49,1644.58,1633.77,1541.39,1525.60
js,mis,i,sp,305.16,2289.33,110.36,341.47,334.09,275.11,278.58,296.58,2279.20,2279.90,2309.53,2296.67,2281.36
js,bis,i,sp,291.71,2235.46,190.76,278.79,316.02,314.02,262.35,287.37,2193.59,2244.51,2263.51,2263.39,2212.28
js,pis,i,sp,262.45,1741.74,306.21,266.53,257.54,255.92,259.99,272.24,1733.14,1756.77,1722.05,1821.45,1675.29
js,cito,i,sp,284.36,1947.33,895.62,312.52,302.68,295.03,271.69,239.90,1979.84,2006.36,1945.33,1648.86,2156.29
js,fito,i,sp,305.36,2117.02,174.79,314.55,312.51,305.19,300.17,294.39,2010.26,2074.43,2149.94,2167.56,2182.91
js,quito,i,sp,290.35,1854.02,325.73,289.45,289.50,290.20,291.70,290.92,1720.17,1706.94,1885.72,1937.83,2019.41
js,mas,a,sp,808.42,1340.76,178.93,761.56,788.62,809.34,828.64,853.94,1258.80,1317.50,1342.52,1373.90,1411.08
js,vas,a,sp,749.24,1330.76,178.54,689.14,738.00,756.69,756.33,806.04,1285.21,1337.98,1319.00,1339.27,1372.35
js,pasa,a,sp,754.39,1222.54,134.36,740.39,752.97,747.55,754.81,776.23,1175.84,1201.72,1208.96,1225.22,1300.99
js,sala,a,sp,748.94,1325.92,214.84,706.87,730.62,743.45,767.31,796.43,1435.08,1369.65,1305.95,1272.61,1246.28
js, fama,a,sp,745.00,1190.20,150.74,713.55,738.01,757.64,767.83,747.99,1188.63,1210.56,1215.19,1210.39,1126.24
js,cama,a,sp,766.73,1358.09,437.20,683.11,742.28,794.25,820.25,793.76,1553.71,1446.77,1379.49,1254.78,1155.68
js,musa,u,sp,294.97,785.40,226.51,301.31,325.09,278.67,290.86,278.93,729.19,741.97,747.46,810.12,898.25
js,bulto,u,sp,275.43,764.66,157.52,267.38,266.63,277.57,281.11,284.45,696.26,719.30,746.83,809.47,851.45
js,puso,u,sp,310.86,779.90,239.18,285.24,291.50,300.13,329.68,347.76,705.72,713.65,731.70,814.17,934.28
js,supo,u,sp,287.85,755.13,240.45,302.96,301.40,289.06,276.58,269.26,863.88,801.37,758.42,724.31,627.67
js,fumo,u,sp,328.32,699.36,135.03,349.38,325.57,324.93,321.08,320.63,750.90,731.12,706.35,681.08,627.34
js,cura,u,sp,310.40,729.45,53.05,301.49,303.19,307.69,313.70,325.93,727.41,714.80,727.07,740.46,737.51
